RH,RR,RR,RS,YR,GH,GH,RO,BH,YO,BO,GH
GS,YO,RH,RS,YO,WO,GO,GR,WS,BS,GH,WR
GO,BH,BH,GO,GO,BR,WO,GR,YH,GS,RS,BO
BS,WH,YR,YR,BR,WH,WO,BH,RH,WR,WH,RO
BH,RS,GH,RH,RR,RO,RH,GS,BS,RH,WO,GS
GR,GO,BR,BH,GO,BR,GR,RR,YO,WO,GH,YS
BH,BO,GS,WS,WR,BO,BH,GR,YS,YO,WS,BO
YS,YH,RR,BR,BO,GS,WH,YR,YR,YO,YH,RH
BS,GR,YH,RR,RS,GR,BR,RR,RO,WS,BR,GR
WO,RO,RO,GS,RO,YR,RH,RO,WO,YH,YS,WO
BO,WH,GH,BO,YS,WO,WS,GH,WR,BO,WR,WS
RR,WS,RR,RS,YO,RS,GO,YO,YR,GR,WR,GO
WH,YO,WS,YS,YH,BS,WR,GR,YH,GH,YH,YO
BR,BO,YS,GH,WH,YR,RS,WH,BR,GS,GS,YS
1600,1559
4400,1559
2400,3291
