
1384283566621,R:90 ; N:1
1384284098462,R:90 ; N:1
1384284409911,R:90 ; N:1
1384284642427,R:90 ; N:1
1384284653645,R:90 ; N:1
1384284862168,R:90 ; N:1
1384284872453,R:90 ; N:1
1384285026686,R:90 ; N:1
1384285074999,R:90 ; N:1
1384285085475,R:90 ; N:1
1384285095213,R:90 ; N:1
1384285104235,R:90 ; N:1
1384285330407,R:90 ; N:1
1384285341380,R:90 ; N:1
1384285348975,R:90 ; N:1
1384285396371,R:90 ; N:1
1384285407119,R:90 ; N:1
1384285414504,R:90 ; N:1
1384283919525,R:90 ; N:1
1384284264463,R:90 ; N:1
1384284679721,R:90 ; N:1
1384284261805,R:90 ; N:1
1384284405699,R:90 ; N:1
1384284057835,R:90 ; N:1
1384284374113,R:90 ; N:1
1384284448083,R:90 ; N:1
1384283988070,R:90 ; N:1
1384283960989,R:90 ; N:1
1384284305649,R:90 ; N:1
1384284024170,R:90 ; N:1
1384283955610,R:90 ; N:1
1384284386798,R:90 ; N:1
1384283968287,R:90 ; N:1
1384283995176,R:90 ; N:1
1384284281366,R:90 ; N:1
1384284307215,R:90 ; N:1
